"page","block","type","y0","y1","file","ocr_heading"
"88","","page","0","1061","of.png","of"
"89","","page","0","1060","of-2.png","of"
"90","1","idiom","34","267","rob-of-b.png","rob A of B"
"90","2","idiom","269","513","clear-of-b.png","clear A of B"
"90","3","idiom","515","759","cure-of-b.png","cure A of B"
"90","4","idiom","761","1010","dispose-of.png","dispose of "
"91","1","idiom","34","266","consist-of.png","consist of ~"
"91","2","idiom","268","514","speak-of.png","speak of ~"
"91","3","idiom","516","760","hear-of.png","hear of -"
"91","4","idiom","762","1010","complain-of.png","complain of ~"
"92","","page","0","1062","with.png","with"
"93","","page","0","1059","with-2.png","with"
"94","1","idiom","34","270","be-filled-with.png","be filled with"
"94","2","idiom","272","515","becovered-with.png","becovered | with"
"94","3","idiom","517","761","be-crowded-with.png","be crowded | with"
"94","4","idiom","763","1010","be-equipped-with.png","be equipped | with"
"95","1","idiom","34","269","befurnished-with.png","befurnished | with"
"95","2","idiom","271","514","be-presented-with.png","be presented | with ~"
"95","3","idiom","516","758","deal-with.png","deal with"
"95","4","idiom","760","1010","provide-with-b.png","provide A | with B"
"96","1","idiom","34","265","plant-with-b.png","plant A with B"
"96","2","idiom","267","510","replace-with-b.png","replace A | with B"
"96","3","idiom","512","760","mix-with.png","mix with"
"96","4","idiom","762","1010","correspond-with.png","correspond | with"
"97","1","idiom","34","271","befacedwith.png","befacedwith"
"97","2","idiom","273","516","compare-with-b.png","compare A | with B"
"97","3","idiom","518","760","compete-with.png","compete with -"
"97","4","idiom","762","1010","struggle-with.png","struggle with"
"98","","page","0","1061","by-aside.png","by-aside"
"99","","page","0","1062","by-aside-2.png","by-aside"
"100","1","idiom","34","269","by-run.png","by | run"
"100","2","idiom","271","510","by-come.png","by | come"
"100","3","idiom","512","760","stop-by.png","stop | by"
"100","4","idiom","762","1010","set-aside.png","set ~ aside"
"101","1","idiom","34","270","step-aside.png","step aside"
"101","2","idiom","272","516","lay-aside.png","lay aside "
"101","3","idiom","518","769","lay-aside-2.png","lay aside"
"101","4","idiom","771","1010","elbow-aside.png","elbow~aside"
"102","","page","0","1059","into.png","into"
"103","","page","0","1058","into-2.png","into"
"104","1","idiom","34","264","bump-into.png","bump into ·"
"104","2","idiom","266","512","change-into.png","change into"
"104","3","idiom","514","758","melt-into.png","melt into"
"104","4","idiom","760","1010","divide-into-b.png","divide A into B"
"105","1","idiom","34","271","translate-into-b.png","translate A | into B"
"105","2","idiom","273","516","burst-into.png","burstinto"
"105","3","idiom","518","761","grow-into.png","grow | /into"
"105","4","idiom","763","1010","talk-into-ing.png","talk A into | ~ing"
"106","","page","0","1062","after-along-across.png","after-along-across"
"107","","page","0","1062","after-along-across-2.png","after-along-across"
"108","1","idiom","34","271","chase-after.png","chase after"
"108","2","idiom","273","521","seek-after.png","seek after"
"108","3","idiom","523","763","name-after-b.png","name A after B"
"108","4","idiom","765","1010","go-along.png","go along"
"109","1","idiom","34","263","go-along-2.png","go along"
"109","2","idiom","265","514","go-along-with.png","go along with ~"
"109","3","idiom","516","767","come-along.png","come along"
"109","4","idiom","769","1010","run-across.png","run across"
"110","","page","0","1059","out-of-through.png","out-of-through"
"111","","page","0","1061","out-of-through-2.png","out-of-through"
"112","1","idiom","34","269","cheat-a-out-of-b.png","cheatA outof | B"
"112","2","idiom","271","512","talk-out-of-ing.png","talk A out of | ~ing"
"112","3","idiom","514","760","go-out-of.png","go out of ~"
"112","4","idiom","762","1010","stay-out-of.png","stay out of ~"
"113","1","idiom","34","270","read-through.png","read ~ through"
"113","2","idiom","272","516","see-through.png","see through"
"113","3","idiom","518","760","see-through-2.png","see ~ through"
"113","4","idiom","762","1010","flow-through.png","flow through"
"114","","page","0","1060","about-around.png","about-around"
"115","","page","0","1062","about-around-2.png","about-around"
"116","1","idiom","34","268","talk-about.png","talk about ~"
"116","2","idiom","270","509","think-about.png","think about ~"
"116","3","idiom","511","762","speak-about.png","speak about ~"
"116","4","idiom","764","1010","come-around.png","come around"
"117","1","idiom","34","268","go-around.png","go around"
"117","2","idiom","270","520","hang-around.png","hang around"
"117","3","idiom","522","766","shop-around.png","shop around"
"117","4","idiom","768","1010","run-around.png","run around"
"118","","page","0","1060","back-forward-ahead.png","back-forward-ahead"
"119","","page","0","1059","back-forward-ahead-2.png","back-forward-ahead"
"120","1","idiom","34","266","call-back.png","call (~) back"
"120","2","idiom","268","515","step-back.png","step back"
"120","3","idiom","517","762","step-forward.png","step forward"
"120","4","idiom","764","1010","put-oneself-forward.png","put oneself | forward"
"121","1","idiom","34","265","put-forward.png","put ~ forward"
"121","2","idiom","267","514","go-ahead.png","go ahead"
"121","3","idiom","516","760","go-ahead-2.png","go ahead"
"121","4","idiom","762","1010","go-ahead-3.png","go ahead"
"122","","page","0","1062","together-apart.png","together-apart"
"123","","page","0","1062","together-apart-2.png","together-apart"
"124","1","idiom","34","267","get-together.png","get together"
"124","2","idiom","269","512","live-together.png","live together"
"124","3","idiom","514","765","go-together.png","go together"
"124","4","idiom","767","1010","come-together.png","come together"
"125","1","idiom","34","270","fall-apart.png","fall apart"
"125","2","idiom","272","514","take-apart.png","take ~ apart"
"125","3","idiom","516","759","take-apart-2.png","take apart ~"
"125","4","idiom","761","1010","tell-apart.png","tell ~ apart"
"126","","page","0","1060","together-apart-3.png","together-apart"
"127","","page","0","1057","together-apart-4.png","together-apart"
"128","","page","0","1061","come.png","come"
"129","","page","0","1061","come-2.png","come"
"130","1","idiom","34","268","come-from.png","come from"
"130","2","idiom","270","512","come-in.png","come in (~)"
"130","3","idiom","514","767","come-into.png","come into"
"130","4","idiom","769","1010","come-over.png","come over"
"131","1","idiom","34","278","come-about.png","come about"
"131","2","idiom","280","514","come-across.png","come across ("
"131","3","idiom","516","761","come-along-with.png","come along | with ~"
"131","4","idiom","763","1010","come-off.png","come off (~)"
"132","1","idiom","34","268","come-on.png","come on"
"132","2","idiom","270","512","come-out.png","come out"
"132","3","idiom","514","764","come-up-with.png","come up with "
"132","4","idiom","766","1010","through-comet.png","through | comet"
"133","1","idiom","34","278","come-by.png","come by (~)"
"133","2","idiom","280","518","come-up.png","come up"
"133","3","idiom","520","762","come-up-to.png","come up to ~"
"133","4","idiom","764","1010","come-down.png","come down"
"134","","page","0","1060","go.png","go"
"135","","page","0","1059","go-2.png","go"
"136","1","idiom","34","270","go-after.png","go after ~"
"136","2","idiom","272","517","go-around-2.png","go around"
"136","3","idiom","519","756","go-away-2.png","go away"
"136","4","idiom","758","1010","go-down.png","go down"
"137","1","idiom","34","264","down-go.png","down | go"
"137","2","idiom","266","522","go-down-2.png","go down"
"137","3","idiom","524","762","dn-o.png","dn o6"
"137","4","idiom","764","1010","go-up-to.png","go up to -"
"138","1","idiom","34","267","go-by.png","go by"
"138","2","idiom","269","512","go-out.png","go out"
"138","3","idiom","514","758","go-out-with.png","go (out) with "
"138","4","idiom","760","1010","go-with.png","go with"
"139","1","idiom","34","264","go-off-with.png","go off (with ~)"
"139","2","idiom","266","511","go-off.png","go off"
"139","3","idiom","513","762","go-off-2.png","go off"
"139","4","idiom","764","1010","go-over-to.png","go over to"
"140","1","idiom","34","268","go-over.png","go over ~"
"140","2","idiom","270","521","go-on-ing.png","go on (~ing)"
"140","3","idiom","523","762","go-on.png","go on"
"140","4","idiom","764","1010","through-go.png","through (~) | go"
"141","1","idiom","34","265","go-through.png","go through"
"141","2","idiom","267","513","go-into.png","go into ~"
"141","3","idiom","515","759","go-into-2.png","go into -"
"141","4","idiom","761","1010","go-for.png","go for ~"
"142","","page","0","1060","turn.png","turn"
"143","","page","0","1060","turn-2.png","turn"
"144","1","idiom","34","269","turn-around.png","turn around"
"144","2","idiom","271","515","turn-around-2.png","turn ~ around"
"144","3","idiom","517","758","turn-to.png","turn to"
"144","4","idiom","760","1010","turn-to-2.png","turn to ~"
